category,sample,Pmin,a0,A5,Pmax,h
Meteoritic Powder,4,-0.45,18.5,0.32,5.5,
Meteoritic Powder,5,-0.25,22,0.35,5,0.06
Meteoritic Powder,6,-0.25,25,0.49,1.5,0.025
Meteoritic Powder,7,-0.2,15,0.35,7,0.05
Meteoritic Powder,8,-2,22.5,0.05,,0.32
Meteoritic Powder,9,-2,21.5,0.055,,0.24
Meteoritic Powder,10,-1.8,23,0.06,,0.3
Meteoritic Powder,11,-1.1,25,0.1,18,0.16
Meteoritic Powder,12,-1,18.5,0.095,14,0.13
Meteoritic Powder,13,-1.2,18.5,0.095,,0.15
Meteoritic Powder,14,-0.6,19,0.14,6,0.09
Meteoritic Powder,15,-0.35,18,0.19,14.5,
Meteoritic Powder,16,-0.65,22.5,0.23,4.5,0.08
Meteoritic Powder,17,-0.6,22,0.25,4,0.05
Meteoritic Powder,18,-0.35,18,0.29,,0.04
Meteoritic Powder,19,-0.6,18,0.19,,0.18
Rock Dust-Free,1,-0.8,5.5,0.02,89,0.29
Rock Dust-Free,2,-0.6,9.5,0.04,98,0.165
Rock Dust-Free,3,-0.45,10,0.045,48,0.095
Rock Dust-Free,4,-1,15,0.055,40,0.19
Rock Dust-Free,6,-0.85,14,0.07,,
Rock Dust-Free,7,-1.5,18.5,0.075,55,0.22
Rock Dust-Free,8,-0.7,12,0.075,54,0.19
Rock Dust-Free,9,-1.35,14,0.08,,0.28
Rock Dust-Free,10,-0.55,12.5,0.085,58,0.19
Rock Dust-Free,12,-0.9,15,0.1,42,0.2
Rock Dust-Free,13,-0.6,17,0.12,31,0.16
Rock Dust-Free,14,-0.4,13,0.14,17,0.08
Rock Dust-Free,15,-0.5,16,0.14,17,0.08
Rock Dust-Free,16,-1,16.5,0.145,32,0.2
Rock Dust-Free,17,-0.8,17.5,0.15,13,
Rock Dust-Free,18,-0.7,14,0.15,22,0.12
Rock Dust-Free,19,-0.5,13,0.15,22.5,0.1
Rock Dust-Free,20,-0.8,15,0.17,16,0.1
Rock Dust-Free,21,-0.35,15,0.2,,
Rock Dust-Free,22,-0.45,12,0.23,27,0.1
Rock Dust-Free,24,-0.8,10.5,0.6,21,0.045
Meteorite Dust-Free,5,-1.2,15,0.065,,
Meteorite Dust-Free,11,-1.2,24,0.1,32,0.16
Meteorite Dust-Free,23,-0.4,16,0.24,24,0.04
Rock Powder 50,1,-0.8,12.5,0.035,,0.275
Rock Powder 50,2,-0.95,16.5,0.055,,0.18
Rock Powder 50,3,-0.65,18,0.16,8.5,0.09
Rock Powder 50,4,-0.75,18.5,0.17,7,0.07
Rock Powder 50,5,-1,22,0.185,5.5,0.1
Rock Powder 50,6,-0.75,21,0.185,4,0.065
Rock Powder 50,7,-0.5,17,0.205,6,0.085
Rock Powder 50,8,-0.55,16,0.23,,0.08
Rock Powder 50,9,-0.3,17,0.24,4.5,0.06
Rock Powder 50,10,-0.45,19,0.24,4,0.065
Rock Powder 50,11,-0.4,19,0.32,3,
Rock Powder 50,12,-0.2,15,0.33,3,0.035
Rock Powder 50,13,-0.1,14,0.43,2.5,0.03
Rock Powder 340,1,-0.125,20,0.05,60,0.25
Rock Powder 340,2,-0.13,18,0.05,56,0.25
Rock Powder 340,3,-0.125,18,0.055,,0.23
Rock Powder 340,4,,,0.06,33.5,
Rock Powder 340,5,-0.12,20,0.065,32.5,
Rock Powder 340,6,-0.09,19,0.07,34,0.16
Rock Powder 340,7,-0.09,18,0.075,27.5,
Rock Powder 340,8,-0.11,17,0.095,,0.18
Rock Powder 340,9,-0.09,20,0.095,24,0.15
Rock Powder 340,10,-0.09,20.5,0.1,21,
Rock Powder 340,11,-0.08,18,0.105,20,
Rock Powder 340,12,,,0.11,19,
Rock Powder 340,13,,,0.115,17.5,
Rock Powder 340,14,-0.07,18,0.12,16,
Rock Powder 340,15,-0.06,16,0.125,17,
Rock Powder 340,16,-0.08,21,0.14,15,
Rock Powder 340,17,-0.095,19,0.145,13.5,0.13
Rock Powder 340,18,-0.06,20,0.25,4.5,0.08
Rock Powder 340,19,-0.04,15,0.2,,0.075
Rock Powder 340,20,-0.025,17,0.2,8,
Rock Powder 340,21,-0.015,9,0.41,3,
Rock Powder 340,22,-0.025,14,0.43,3.5,0.05
Rock Powder 340,23,-0.02,21.5,0.49,1.5,
Rock Powder 340,24,,,0.5,2,
Rock Powder 340,25,-0.02,22,0.56,1.5,
